Speaker_ID,L1_Background,Sample_File,Original_File
ABA,TBD,ABA_arctic_b0525.wav,arctic_b0525.wav
ASI,TBD,ASI_arctic_b0525.wav,arctic_b0525.wav
BWC,TBD,BWC_arctic_b0525.wav,arctic_b0525.wav
EBVS,TBD,EBVS_arctic_a0489.wav,arctic_a0489.wav
ERMS,TBD,ERMS_arctic_b0525.wav,arctic_b0525.wav
HJK,TBD,HJK_arctic_b0525.wav,arctic_b0525.wav
HKK,TBD,HKK_arctic_b0525.wav,arctic_b0525.wav
HQTV,TBD,HQTV_arctic_b0525.wav,arctic_b0525.wav
LXC,TBD,LXC_arctic_b0525.wav,arctic_b0525.wav
MBMPS,TBD,MBMPS_arctic_b0525.wav,arctic_b0525.wav
NCC,TBD,NCC_arctic_b0525.wav,arctic_b0525.wav
NJS,TBD,NJS_arctic_b0525.wav,arctic_b0525.wav
PNV,TBD,PNV_arctic_b0525.wav,arctic_b0525.wav
RRBI,TBD,RRBI_arctic_b0525.wav,arctic_b0525.wav
SKA,TBD,SKA_arctic_b0189.wav,arctic_b0189.wav
SVBI,TBD,SVBI_arctic_b0525.wav,arctic_b0525.wav
THV,TBD,THV_arctic_b0525.wav,arctic_b0525.wav
TLV,TBD,TLV_arctic_b0525.wav,arctic_b0525.wav
TNI,TBD,TNI_arctic_b0525.wav,arctic_b0525.wav
TXHC,TBD,TXHC_arctic_b0525.wav,arctic_b0525.wav
YBAA,TBD,YBAA_arctic_b0525.wav,arctic_b0525.wav
YDCK,TBD,YDCK_arctic_b0525.wav,arctic_b0525.wav
YKWK,TBD,YKWK_arctic_b0525.wav,arctic_b0525.wav
ZHAA,TBD,ZHAA_arctic_b0525.wav,arctic_b0525.wav
